broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
286990014,화요일엔 화요팅~~!!,cotton1217,주르르,2684,2025-08-26 19:49:39.0,"['이세계아이돌', '르르땅', '왁타버스', '우왁굳', '주르르']",2025-08-26T11:03:04Z,soop,00810000
286988092,[여우도시 무한성] 나 박쟈오밍이다,soyoung6056,빡쏘,780,2025-08-26 18:58:51.0,"['소통', '뉴걸', '지력사무소', '지엉깔', '여우도시']",2025-08-26T11:03:04Z,soop,00810000
286988776,[하데스] 짧뱅,kymakyma,키마,680,2025-08-26 19:13:03.0,"['버추얼', '노래', '음악', '하데스', '키마']",2025-08-26T11:03:04Z,soop,00810000
286986086,홀쭉이 여름굿즈 나왔어요,yangdoki,양도끼,651,2025-08-26 17:58:55.0,"['노래', '외계인', '버튜버', '버추얼']",2025-08-26T11:03:04Z,soop,00810000
286985862,평형사의 하루ㅣ여우도시 11일차,insome0319,따린,608,2025-08-26 17:49:52.0,"['버츄얼', '따린', '개모임']",2025-08-26T11:03:04Z,soop,00810000
286988376,엣헴!🌙,givemecs,미녕이데꼬깨,277,2025-08-26 19:02:19.0,"['미녕이데려오깨', '버추얼', '미츄']",2025-08-26T11:03:04Z,soop,00810000
286989326,[하데스] 생존신고,spica21,서피카,262,2025-08-26 19:30:28.0,"['버츄얼', '버튜버', '시그널', '오하이오', '하데스']",2025-08-26T11:03:04Z,soop,00810000
286989448,qkdrkqek,nanamoon777,나나문,145,2025-08-26 19:33:17.0,"['버츄얼', '노래', '섹시', '핫걸']",2025-08-26T11:03:04Z,soop,00810000
286988904,8시 규순 발로ck,baeksoon2,파니_,144,2025-08-26 19:17:27.0,"['파니', '소통', '종합게임', '백순이']",2025-08-26T11:03:04Z,soop,00810000
286986026,여우도시 11일차 설수설,danz59,단즈_,127,2025-08-26 17:57:04.0,"['한화', '버추얼', '버츄얼']",2025-08-26T11:03:04Z,soop,00810000
286985530,반캠 때 춰볼 시그댄스 골라보기,muse0116,뮤즈_MUSE,106,2025-08-26 17:34:32.0,"['버튜버', '버추얼', '꼬라지']",2025-08-26T11:03:04Z,soop,00810000
286986134,7시) 월간 리뷰 데이 - 캠퍼스 라이브 미츄제 [플랜비 연습생],bamsaena,밤새나,104,2025-08-26 17:59:52.0,"['뉴걸', '신입', '소통', '라디오', '버추얼']",2025-08-26T11:03:04Z,soop,00810000
286988248,"🍒8시 그라운디드2 합방!(w.끠끼,카라멜,칸)",yeda1224,예다.,101,2025-08-26 19:00:27.0,"['버츄얼', '버튜버', '버추얼', '라디오']",2025-08-26T11:03:04Z,soop,00810000
286986160,[플랜비 연습생] 연이봤 탈탈,9wang2,크앙희,89,2025-08-26 18:00:09.0,"['뉴걸', '노래', '게임', '소통', '버츄얼']",2025-08-26T11:03:04Z,soop,00810000
286986560,안넝안넝!!,cjstkdbsl3,깡담비,84,2025-08-26 18:11:16.0,"['버츄얼', '담비', '미숙이', '종겜']",2025-08-26T11:03:04Z,soop,00810000
286989350,[도파민] 24시간 방송시작합니다^^.. / 오리곡 발매기념 굿즈 마감까지 D-3 🌊,kyaang123,캬앙,83,2025-08-26 19:30:48.0,"['도파민', '노래', '라디오', '바닐라만두', '바만']",2025-08-26T11:03:04Z,soop,00810000
286985398,라즈는 오늘 포켓몬 어나더레드를 정복한다.,razvlup,라즈ㆍ,80,2025-08-26 17:30:21.0,"['버추얼', '뉴걸', '청초', '브이럽', '이노빌']",2025-08-26T11:03:04Z,soop,00810000
286982894,왕꿈틀이 스파 먹이기,nokcho999,_녹초,79,2025-08-26 15:29:46.0,"['버츄얼', '버튜버']",2025-08-26T11:03:04Z,soop,00810000
286986696,저 친구가 없어요,vrecordyunon,유논_YUNON,78,2025-08-26 18:16:03.0,"['브이레코드', '이적', 'ASMR']",2025-08-26T11:03:04Z,soop,00810000
286929820,좋은 저녁이신가요? ㅣ 다이아서버 노방종 222개 룰렛,ooonae,온네님,75,2025-08-24 14:40:06.0,"['라디오', '버츄얼', '노래', '버추얼', 'ASMR']",2025-08-26T11:03:04Z,soop,00810000
286985912,[여우도시]10일차. 그래서 아직 순경임?,gosummer,고여름_,72,2025-08-26 17:51:54.0,"['고여름', '버츄얼', '고순경']",2025-08-26T11:03:04Z,soop,00810000
286981376,"룰렛 마지막 날/148개, 1110개🐻",wggumteuli,왕꿈틀이__,70,2025-08-26 14:05:16.0,"['왕꿈틀이', '버추얼', '버튜버']",2025-08-26T11:03:04Z,soop,00810000
286980364,[결속!] 버갈통 솜미향 마지막화 [룰렛 50/500],myang0315,솜먕,70,2025-08-26 13:01:22.0,"['버츄얼', '결속아이돌', '샌드박스', '다람쥐', '버갈통']",2025-08-26T11:03:04Z,soop,00810000
286988308,콧물이 아니고 곰모리 앵농,et0726,꼼모리,67,2025-08-26 19:01:16.0,"['레벨업', 'LVU', '곰모리', '버츄얼']",2025-08-26T11:03:04Z,soop,00810000
286985984,즉석방셀 + 똥글 도저니 500개~ ʕっꈍᗜꈍςʔ ෆ,shaaee,샤애_,60,2025-08-26 17:55:24.0,"['뉴걸', '삼국지', '버추얼']",2025-08-26T11:03:04Z,soop,00810000
286985994,여우도시 경 장ㅎ 강예지,bb0rii,멍보리¿,57,2025-08-26 17:56:04.0,[],2025-08-26T11:03:04Z,soop,00810000
286987428,여우도시🦊 11일차 조까꿍,odoeun,쨈도은,56,2025-08-26 18:38:43.0,"['버츄얼', '이적', '뉴걸']",2025-08-26T11:03:04Z,soop,00810000
286985336,93일차 뉴걸 명조 안 한 뇌의 캐릭터 PV 이상형 월드컵 ㄷㄱㅈ,backsongorv,백송_,55,2025-08-26 17:28:19.0,"['오르빗', '뉴걸', '버추얼', '버튜버']",2025-08-26T11:03:04Z,soop,00810000
286983442,샥크의 노래뱅뱅뱅,usharko0o0,유샥크,54,2025-08-26 16:00:49.0,"['말랑', '상어', '유샥크']",2025-08-26T11:03:04Z,soop,00810000
286982350,💜 잔잔 소통,denebeu,데네브.,52,2025-08-26 15:01:30.0,"['폐수함', '뉴걸', '신입']",2025-08-26T11:03:04Z,soop,00810000
286988214,채팅 잘 읽어줌,quokka1228,김쿼카_,50,2025-08-26 19:00:14.0,[],2025-08-26T11:03:04Z,soop,00810000
286929656,99시간 노방종 다이아 1등해야합니다💙🍀ㅣAPI방셀룰렛있습니다!!(다이아전용의상),toree0409,토뤼,48,2025-08-24 14:32:10.0,"['버추얼', '노래', '토크', '신입', '뉴걸']",2025-08-26T11:03:04Z,soop,00810000
286985682,"요일을 착각하는 스트리머가 있다 (룰렛 33, 연차 330)",nfortuneshi,샤이렌_EVE,45,2025-08-26 17:41:48.0,"['버츄얼', '뉴걸']",2025-08-26T11:03:04Z,soop,00810000
286988284,오랜만에 버니버스 잠깐,puyo0805,뿌요,44,2025-08-26 19:00:50.0,"['버츄얼', '신입']",2025-08-26T11:03:04Z,soop,00810000
286977282,[24시간] ❤️ 당첨 15% 룰렛 66 당첨 25% 룰렛 124🍒 ,dalchesom,달체솜,43,2025-08-26 09:00:28.0,[],2025-08-26T11:03:04Z,soop,00810000
286990496,[수니그룹 게임즈] 내가 와따!,tleod1818,빙밍_,43,2025-08-26 19:59:30.0,"['빙밍', '버츄얼', '버튜버', '브끙', '방망']",2025-08-26T11:03:04Z,soop,00810000
286986166,"[뉴걸] 귀여운 저 보러오세요 [룰렛 33,125,330 연차 11번]",youxhh,미코!,40,2025-08-26 18:00:11.0,"['버추얼', '버츄얼', '뉴걸', '소통', '룰렛']",2025-08-26T11:03:04Z,soop,00810000
286928166,꾸리한다이아서버 222개 많관부!ㅎ0ㅎ api는 대결이로!,hibby1004,너보링,39,2025-08-24 13:30:13.0,"['버튜버', '버츄얼', '버추얼', '신입', '뉴걸']",2025-08-26T11:03:04Z,soop,00810000
286989428,🐤 [룰렛 DAY] 안넝하데여 ? 쩜 톡식한 상태임니다ㅏ,kjhh0029,카나시,39,2025-08-26 19:32:41.0,"['버츄얼', '버튜버', '버추얼']",2025-08-26T11:03:04Z,soop,00810000
286988196,【지력】 굿이브닝💜,kbs9981,김병살,38,2025-08-26 19:00:02.0,"['레븐', '병살', '지력사무소', '관심밴드']",2025-08-26T11:03:04Z,soop,00810000
286980774,✨ 후열 여우도시 찍먹 🫧,lina0108,유시노_리냐,38,2025-08-26 13:30:32.0,"['버튜버', '버츄얼', '용', '풀트', '댄스']",2025-08-26T11:03:04Z,soop,00810000
286988192,노래 연습하기,kirababy2,유키라,37,2025-08-26 19:00:01.0,"['버츄얼', '버추얼', '사신']",2025-08-26T11:03:04Z,soop,00810000
286986126,[노휴방 569일/서말리] 녹두야) 여우도시 6일 차,nclavis06,클라비스,37,2025-08-26 17:59:47.0,"['아침', '뉴스', '버추얼']",2025-08-26T11:03:04Z,soop,00810000
286985686,여우도시 11일차 [저수지],nlov555jij,삐요코,34,2025-08-26 17:42:24.0,"['뉴걸', '노래', '여우도시', '이적']",2025-08-26T11:03:04Z,soop,00810000
286989352,오랜망이따아,bbua104,쁘아,33,2025-08-26 19:30:52.0,"['버추얼', '토크', '신입', '라디오']",2025-08-26T11:03:04Z,soop,00810000
286986094,[미러클] (뉴걸) 이제 묘네가 풀문이다 ! 뉴 시그풍! (룰렛 33개),ruielll,묘네,33,2025-08-26 17:59:08.0,"['버튜버', '뉴걸', '버츄얼', '탐방']",2025-08-26T11:03:04Z,soop,00810000
286979108,[저점매수]🤍🖤🖤,wdh030,엣치쿠_,32,2025-08-26 11:29:53.0,"['롤', '소통', '버추얼', '배그']",2025-08-26T11:03:04Z,soop,00810000
286989338,비상 : 전담고장,wlssud44,찐녕,30,2025-08-26 19:30:35.0,"['버츄얼', '벌꿀오소리', '소통', '뉴걸', '노래']",2025-08-26T11:03:04Z,soop,00810000
