broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
286985384,NS TK777 vs DRX Savior | GROUP F MATCH 2 | 2025 FSL SUMMER | FC 온라인,affifaonline,FCO공식,23626,2025-08-26 17:30:09.0,"['FSL', 'SUMMER', 'FCONLINE', 'FC온라인', '20250825']",2025-08-26T12:39:36Z,soop,00040070
286984270,[드롭스 아뚱 몸무게급 터지네;;] FSL TK777 VS 쌔벼 [감컴] 피파4,galsa,두치와뿌꾸,3206,2025-08-26 16:45:05.0,"['피파', 'FC온라인', '축구', '드롭스']",2025-08-26T12:39:36Z,soop,00040070
286985930,[드롭스로 백만(BP)장자] FSL 현폼 최강 GCT CRONG 응원방 피파4,hm05082,임유진.,522,2025-08-26 17:52:34.0,"['FC', '피파', '축구']",2025-08-26T12:39:36Z,soop,00040070
286981882,[넥슨캐시드롭스] FSL중계 NS TK777 vs DRX SaviorFC온라인 피파4 마빡 / 감컴,vbvb1230,마빡,400,2025-08-26 14:35:26.0,"['감스트', '뿌꾸', '피파4', '맨시티', '축구']",2025-08-26T12:39:36Z,soop,00040070
286985884,[넥슨캐쉬 40만원 뿌림] 빅윈x으네 암반수 라디오 퀴즈 이벤트 피파4 FC온라인,dstv,빅윈,372,2025-08-26 17:51:09.0,"['빅윈', 'bj두치와뿌꾸', 'FC온라인']",2025-08-26T12:39:36Z,soop,00040070
286986074,[공식드롭스/퀵뷰] 캠 고장 버츄얼 데뷔.. 오늘도 레전드 경기ON Fc온라인 피파4,bxw0pal0,걍하리_,326,2025-08-26 17:58:22.0,"['fc온라인', '피파온라인', '피파4', '피파', '하리']",2025-08-26T12:39:36Z,soop,00040070
286985502,[드롭스 펑펑] FSL 대회 응원하기 쫀하루,lalapin,라거머핀,285,2025-08-26 17:33:35.0,"['두치와뿌꾸', 'FC24', '피파4', 'FC온라인']",2025-08-26T12:39:36Z,soop,00040070
286984998,[드롭스 잘 터지는 방송] 오늘도 레전드 경기만 모았다...,seh0305,으-네,266,2025-08-26 17:13:18.0,"['피파4', '으네', 'fc온라인', '건강하시고', '행복하세요']",2025-08-26T12:39:36Z,soop,00040070
286984870,FSL 드롭스 겁나 터짐  오늘 진짜 빅 꿀잼  피파4 ,hoya10047,국호형,260,2025-08-26 17:08:05.0,"['피파', '피파4', '두치와뿌꾸', 'fc온라인', '감스트']",2025-08-26T12:39:36Z,soop,00040070
286986038,와;;; 신규 시즌 4종 출시!! 이적시장 미친건가?? 비상... 피파4,austin09,말키.,242,2025-08-26 17:57:26.0,"['피파4', '두치와뿌꾸', '피파', 'FC온라인', '이상호']",2025-08-26T12:39:36Z,soop,00040070
